Player_Name,Club,Position,Goals_Scored,Assists,Total_Points,Minutes,Goals_Conceded,Creativity,Influence,Threat,Bonus,Clean_Sheets
Riyad Mahrez,Manchester City,Midfielder,9,8,145,1945,22,693.6,606.0,893,15,11
Rodrigo Hernandez,Manchester City,Midfielder,2,2,91,2747,27,546.3,640.6,335,5,13
Ruben Dias,Manchester City,Defender,1,1,142,2843,21,91.0,651.6,218,12,17
Scott Carson,Manchester City,Goalkeeper,0,0,7,90,3,0.0,37.4,0,1,0
Sergio Aguero,Manchester City,Forward,4,1,38,554,4,102.2,200.6,326,3,4
Taylor Harwood-Bellis,Manchester City,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Zack Steffen,Manchester City,Goalkeeper,0,0,2,90,1,0.0,9.6,0,0,0
Aaron Wan-Bissaka,Manchester United,Defender,2,5,144,3060,36,498.2,785.4,159,11,13
Alex Nicolao Telles,Manchester United,Defender,0,2,25,689,11,200.7,168.6,33,3,1
Amad Diallo,Manchester United,Midfielder,0,1,8,165,3,31.2,38.0,9,0,0
Anthony Elanga,Manchester United,Midfielder,1,0,11,155,2,19.7,51.6,29,2,0
Anthony Martial,Manchester United,Forward,4,7,75,1477,23,265.4,297.6,709,3,4
Axel Tuanzebe,Manchester United,Defender,0,0,7,402,8,6.0,95.0,0,0,0
Brandon Williams,Manchester United,Defender,0,0,5,187,3,19.4,26.6,19,0,0
Bruno Fernandes,Manchester United,Midfielder,18,14,244,3101,36,1414.9,1292.6,1253,36,13
Daniel James,Manchester United,Midfielder,3,1,43,907,7,145.7,186.0,285,1,4
David de Gea,Manchester United,Goalkeeper,0,0,91,2295,32,0.0,464.2,0,4,9
Donny van de Beek,Manchester United,Midfielder,1,2,32,511,12,58.4,117.0,70,0,0
Edinson Cavani,Manchester United,Forward,10,4,99,1364,18,203.3,443.4,513,14,4
Eric Bailly,Manchester United,Defender,0,0,31,915,17,8.3,175.6,26,6,3
Frederico Rodrigues de Paula Santos,Manchester United,Midfielder,1,0,69,2389,25,395.6,482.6,200,1,12
Hannibal Mejbri,Manchester United,Midfielder,0,0,1,8,0,0.0,1.2,0,0,0
Harry Maguire,Manchester United,Defender,2,2,124,3047,36,133.6,701.4,428,8,13
Juan Mata,Manchester United,Midfielder,1,3,32,507,6,132.8,108.4,86,3,1
Luke Shaw,Manchester United,Defender,1,5,124,2653,33,1085.9,596.0,243,22,10
Marcus Rashford,Manchester United,Midfielder,11,11,174,2917,39,682.1,793.2,1127,9,12
Mason Greenwood,Manchester United,Midfielder,7,2,106,1813,23,278.7,370.8,881,9,7
Nathan Bishop,Manchester United,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Nemanja Matic,Manchester United,Midfielder,0,1,36,1101,18,149.0,218.4,80,0,4
Odion Ighalo,Manchester United,Forward,0,0,1,9,1,0.1,0.0,2,0,0
Paul Pogba,Manchester United,Midfielder,3,6,92,1892,26,376.0,451.4,401,11,5
Scott McTominay,Manchester United,Midfielder,4,2,91,2124,25,270.5,523.2,314,4,9
Shola Shoretire,Manchester United,Midfielder,0,0,2,9,0,1.1,0.2,0,0,0
Victor Lindelof,Manchester United,Defender,1,1,102,2585,30,102.6,503.0,56,3,10
William Fish,Manchester United,Defender,0,0,1,1,0,0.0,0.0,0,0,0
Allan Saint-Maximin,Newcastle United,Midfielder,3,5,85,1554,26,394.2,376.0,418,5,7
Andy Carroll,Newcastle United,Forward,1,1,30,380,8,37.1,64.0,187,3,1
Callum Wilson,Newcastle United,Forward,12,6,134,2081,37,230.4,557.4,761,22,5
Ciaran Clark,Newcastle United,Defender,1,0,46,1890,35,29.8,402.6,105,2,3
DeAndre Yedlin,Newcastle United,Defender,0,0,13,435,6,41.8,58.6,20,0,1
Dwight Gayle,Newcastle United,Forward,1,1,31,501,9,89.4,79.6,263,3,0
Elliot Anderson,Newcastle United,Midfielder,0,0,1,3,0,0.3,0.0,2,0,0
Emil Krafth,Newcastle United,Defender,1,1,45,1286,27,87.7,240.4,88,0,5
Fabian Schar,Newcastle United,Defender,1,0,30,1255,21,9.0,251.0,116,1,2
Federico Fernandez,Newcastle United,Defender,0,0,53,2080,38,91.3,522.0,64,6,5
Florian Lejeune,Newcastle United,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Isaac Hayden,Newcastle United,Midfielder,0,0,40,1942,33,117.7,278.0,155,0,4
Jacob Murphy,Newcastle United,Midfielder,2,3,69,1617,33,280.8,363.4,289,7,3
Jamaal Lascelles,Newcastle United,Defender,2,0,44,1625,32,38.1,345.2,161,3,2
Jamal Lewis,Newcastle United,Defender,0,1,44,1833,37,224.8,272.6,47,3,3
Javier Manquillo,Newcastle United,Defender,0,0,28,822,15,93.5,109.8,18,0,3
Joelinton de Lira,Newcastle United,Forward,4,2,74,1979,36,250.1,357.0,612,5,3
Jonjo Shelvey,Newcastle United,Midfielder,1,3,74,2616,46,522.1,474.2,299,2,6
Joseph Willock,Newcastle United,Midfielder,8,0,79,1210,18,137.2,436.6,401,5,4
Karl Darlow,Newcastle United,Goalkeeper,0,0,80,2250,43,0.0,682.4,0,6,4
Kelland Watts,Newcastle United,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Martin Dubravka,Newcastle United,Goalkeeper,0,0,48,1170,19,0.0,346.8,0,6,3
Matt Ritchie,Newcastle United,Midfielder,0,5,52,1347,22,411.9,225.8,101,5,3
Matthew Longstaff,Newcastle United,Midfielder,0,0,10,376,8,35.6,32.6,2,0,1
Miguel Almiron,Newcastle United,Midfielder,4,2,97,2426,48,447.3,452.6,425,8,5
Paul Dummett,Newcastle United,Defender,1,0,40,1254,20,68.1,274.4,45,2,3
Ryan Fraser,Newcastle United,Midfielder,0,4,39,922,18,395.0,142.8,165,0,4
Sean Longstaff,Newcastle United,Midfielder,0,1,41,1405,26,182.8,179.2,148,1,2
Yoshinori Muto,Newcastle United,Forward,0,0,0,0,0,0.0,0.0,0,0,0
Alex McCarthy,Southampton,Goalkeeper,0,0,94,2700,57,0.0,741.2,0,8,7
Caleb Watts,Southampton,Midfielder,0,0,2,36,0,4.4,5.4,0,0,0
Che Adams,Southampton,Forward,9,7,137,2662,51,488.6,581.8,964,16,7
Daniel N'Lundulu,Southampton,Forward,0,0,13,102,1,12.2,3.2,16,0,0
Danny Ings,Southampton,Forward,12,4,131,2172,40,300.7,634.6,866,21,6
Fraser Forster,Southampton,Goalkeeper,0,0,30,720,11,0.0,191.0,0,0,2
Ibrahima Diallo,Southampton,Midfielder,0,0,31,1010,22,143.2,120.4,66,0,3
Jack Stephens,Southampton,Defender,0,0,41,1537,39,85.6,351.0,104,6,4
Jake Vokins,Southampton,Defender,0,0,1,66,2,14.8,1.8,0,0,0
James Ward-Prowse,Southampton,Midfielder,8,7,156,3420,68,971.2,940.0,355,17,9
Jan Bednarek,Southampton,Defender,1,1,94,3100,62,75.0,692.0,164,11,9
Jannik Vestergaard,Southampton,Defender,3,1,86,2574,47,102.1,671.8,294,4,6
Kgaogelo Chauke,Southampton,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Kyle Walker-Peters,Southampton,Defender,0,3,93,2646,41,262.2,497.6,316,7,9
Michael Obafemi,Southampton,Forward,0,0,4,57,2,10.8,5.6,4,0,0
Mohammed Salisu,Southampton,Defender,0,0,14,841,19,29.9,188.2,34,0,0
Moussa Djenepo,Southampton,Midfielder,1,2,46,1229,27,97.7,178.0,170,0,3
Nathan Redmond,Southampton,Midfielder,2,3,67,1727,39,400.4,297.0,477,3,1
Nathan Tella,Southampton,Midfielder,1,2,36,735,11,86.0,94.6,203,2,2
Oriol Romeu Vidal,Southampton,Midfielder,1,1,52,1762,25,229.1,349.2,98,4,6
Ryan Bertrand,Southampton,Defender,0,2,78,2598,51,271.8,306.8,135,4,8
Shane Long,Southampton,Forward,0,0,12,201,6,6.4,9.8,19,0,1
Stuart Armstrong,Southampton,Midfielder,4,7,115,2764,56,496.7,541.2,457,4,8
Takumi Minamino,Southampton,Midfielder,3,0,48,999,18,92.3,168.2,281,2,2
Theo Walcott,Southampton,Midfielder,3,4,76,1629,28,248.0,269.8,366,2,5
William Smallbone,Southampton,Midfielder,0,0,5,171,5,7.4,16.8,9,0,0
Yan Valery,Southampton,Defender,0,0,3,101,4,22.1,26.0,12,0,0
Bamidele Alli,Tottenham Hotspurs,Midfielder,0,2,30,613,9,132.1,103.4,165,0,3
Ben Davies,Tottenham Hotspurs,Defender,0,2,52,1340,16,136.8,232.8,65,1,4
Cameron Carter-Vickers,Tottenham Hotspurs,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Carlos Vinicius Alves Morais,Tottenham Hotspurs,Forward,1,0,13,305,2,26.9,52.6,142,0,1
Dane Scarlett,Tottenham Hotspurs,Forward,0,0,1,1,0,0.0,0.0,0,0,0
Danny Rose,Tottenham Hotspurs,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Davinson Sanchez,Tottenham Hotspurs,Defender,0,0,43,1486,22,20.0,319.2,114,3,4
Eric Dier,Tottenham Hotspurs,Defender,0,0,77,2520,34,82.2,577.0,114,2,8
Erik Lamela,Tottenham Hotspurs,Midfielder,1,1,28,700,17,137.1,115.2,236,0,1
Gareth Bale,Tottenham Hotspurs,Midfielder,11,3,113,912,12,306.5,550.8,507,16,5
Giovani Lo Celso,Tottenham Hotspurs,Midfielder,1,1,35,939,10,222.8,169.2,155,0,5
Harry Kane,Tottenham Hotspurs,Forward,23,14,242,3083,39,659.1,1318.2,1585,40,12
Harry Winks,Tottenham Hotspurs,Midfielder,0,0,19,856,16,77.6,128.2,24,0,1
Heung-Min Son,Tottenham Hotspurs,Midfielder,17,11,228,3119,36,1049.9,1052.2,1046,26,13
Hugo Lloris,Tottenham Hotspurs,Goalkeeper,0,0,149,3420,45,0.0,868.0,0,13,12
Japhet Tanganga,Tottenham Hotspurs,Defender,0,0,14,487,8,29.5,68.8,40,0,2
Joe Rodon,Tottenham Hotspurs,Defender,0,0,27,732,12,3.6,166.2,6,3,2
Juan Foyth,Tottenham Hotspurs,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Lucas Moura,Tottenham Hotspurs,Midfielder,3,5,80,1397,18,258.4,322.4,298,5,4
Matt Doherty,Tottenham Hotspurs,Defender,0,2,47,1238,15,182.4,257.2,79,4,4
Moussa Sissoko,Tottenham Hotspurs,Midfielder,0,0,44,1576,22,94.5,182.2,69,2,5
Paulo Gazzaniga,Tottenham Hotspurs,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Pierre-Emile Hojbjerg,Tottenham Hotspurs,Midfielder,2,4,107,3420,45,308.7,728.8,146,6,12
Ryan Sessegnon,Tottenham Hotspurs,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Serge Aurier,Tottenham Hotspurs,Defender,2,3,80,1605,22,267.6,412.2,194,4,6
Sergio Reguilon,Tottenham Hotspurs,Defender,0,6,89,2244,31,309.4,361.2,253,4,8
Steven Bergwijn,Tottenham Hotspurs,Midfielder,1,4,55,1202,15,190.9,161.4,180,2,5
Tanguy Ndombele,Tottenham Hotspurs,Midfielder,3,3,99,2086,24,270.8,408.0,281,7,12
Toby Alderweireld,Tottenham Hotspurs,Defender,1,0,88,2240,25,106.5,559.8,178,4,10
Aaron Cresswell,West Ham United,Defender,0,11,153,3170,41,898.6,669.4,96,21,11
Ademipo Odubeko,West Ham United,Forward,0,0,0,0,0,0.0,0.0,0,0,0
Albian Ajeti,West Ham United,Forward,0,0,0,0,0,0.0,0.0,0,0,0
Andriy Yarmolenko,West Ham United,Midfielder,0,1,17,362,7,80.3,50.6,106,0,1
Angelo Ogbonna,West Ham United,Defender,3,0,100,2492,34,56.4,489.8,244,5,9
Arthur Masuaku,West Ham United,Defender,0,2,42,1006,15,200.5,187.4,62,4,4
Ben Johnson,West Ham United,Defender,1,0,25,516,10,63.7,98.0,28,0,1
Craig Dawson,West Ham United,Defender,3,0,75,1925,25,30.2,433.6,219,3,7
Darren Randolph,West Ham United,Goalkeeper,0,0,10,270,3,0.0,46.2,0,0,1
Declan Rice,West Ham United,Midfielder,2,1,86,2880,37,343.8,561.2,303,2,11
Fabian Balbuena,West Ham United,Defender,1,0,39,1197,19,9.0,260.8,79,0,4
Felipe Anderson Pereira Gomes,West Ham United,Midfielder,0,0,2,2,0,0.4,2.4,2,0,0
Frederik Alves,West Ham United,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Issa Diop,West Ham United,Defender,2,0,42,1379,22,17.4,375.6,48,1,2
Jamal Baptiste,West Ham United,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Jarrod Bowen,West Ham United,Midfielder,8,6,141,2556,33,493.5,529.8,812,8,9
Jesse Lingard,West Ham United,Midfielder,9,5,106,1423,19,288.2,487.0,530,15,4
Jordan Hugill,West Ham United,Forward,0,0,0,0,0,0.0,0.0,0,0,0
Lukasz Fabianski,West Ham United,Goalkeeper,0,0,133,3150,44,0.0,745.2,0,11,10
Manuel Lanzini,West Ham United,Midfielder,1,1,28,556,5,153.0,121.4,102,0,1
Mark Noble,West Ham United,Midfielder,0,0,27,701,15,88.6,80.4,7,0,0
Michail Antonio,West Ham United,Forward,10,5,118,1972,25,349.1,517.8,1038,19,6
Pablo Fornals,West Ham United,Midfielder,5,7,125,2571,33,441.3,491.8,631,10,9
Roberto Jimenez Gago,West Ham United,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Ryan Fredericks,West Ham United,Defender,1,1,28,564,9,166.8,155.2,96,0,1
Said Benrahma,West Ham United,Midfielder,1,6,73,1376,19,371.9,301.0,371,4,3
Sebastian Haller,West Ham United,Forward,3,0,41,932,12,131.6,169.6,361,4,3
Tomas Soucek,West Ham United,Midfielder,10,2,147,3420,47,271.1,889.8,925,16,11
Vladimir Coufal,West Ham United,Defender,0,9,128,3054,43,670.9,693.8,220,12,9
Adama Traore,Wolverhampton Wanderers,Midfielder,2,4,94,2640,41,751.0,475.4,645,5,7
Conor Coady,Wolverhampton Wanderers,Defender,1,0,106,3303,51,40.1,692.2,85,7,10
Daniel Castelo Podence,Wolverhampton Wanderers,Midfielder,3,2,75,1661,24,322.0,285.6,456,5,8
Fabio Silva,Wolverhampton Wanderers,Forward,4,3,72,1352,29,166.1,238.2,758,5,0
Fernando Marcal,Wolverhampton Wanderers,Defender,0,0,19,618,9,61.7,102.6,13,0,1
Joao Santos Moutinho,Wolverhampton Wanderers,Midfielder,1,1,73,2526,40,726.9,478.4,113,4,6
John Ruddy,Wolverhampton Wanderers,Goalkeeper,0,0,4,91,1,0.0,25.4,0,0,0
Jonathan Castro Otto,Wolverhampton Wanderers,Defender,0,0,16,496,4,31.8,61.0,14,1,1
Ki-Jana Hoever,Wolverhampton Wanderers,Defender,0,0,13,573,11,59.7,100.4,26,0,0
Leander Dendoncker,Wolverhampton Wanderers,Midfielder,1,2,77,2498,33,261.4,386.4,343,2,11
Max Kilman,Wolverhampton Wanderers,Defender,0,1,58,1307,11,67.4,249.6,78,8,5
Morgan Gibbs-White,Wolverhampton Wanderers,Midfielder,1,0,22,407,6,112.8,85.0,114,3,0
Nelson Semedo,Wolverhampton Wanderers,Defender,1,3,109,2983,45,412.9,595.2,297,11,9
Oskar Buur,Wolverhampton Wanderers,Defender,0,0,1,22,0,0.5,0.6,0,0,0
Owen Otasowie,Wolverhampton Wanderers,Midfielder,0,1,9,185,6,25.9,38.2,34,0,0
Patrick Cutrone,Wolverhampton Wanderers,Forward,0,0,2,23,0,0.0,0.0,4,0,0
Pedro Lomba Neto,Wolverhampton Wanderers,Midfielder,5,8,124,2549,38,1007.3,594.2,722,10,9
Raul Jimenez ,Wolverhampton Wanderers,Forward,4,1,43,824,10,96.2,177.4,275,7,4
Rayan Ait Nouri,Wolverhampton Wanderers,Defender,1,1,54,1400,23,234.5,243.2,196,6,3
Romain Saiss,Wolverhampton Wanderers,Defender,3,0,99,2407,40,101.2,584.6,347,11,8
Ruben Neves,Wolverhampton Wanderers,Midfielder,5,1,104,2670,42,455.0,697.2,445,10,8
Ruben Vinagre,Wolverhampton Wanderers,Defender,0,0,1,172,7,25.3,31.2,0,0,0
Rui Pedro Patricio,Wolverhampton Wanderers,Goalkeeper,0,0,132,3330,51,0.0,763.6,0,12,10
Vitor Ferreira,Wolverhampton Wanderers,Midfielder,0,1,26,509,8,179.0,80.0,72,0,0
Willian Jose,Wolverhampton Wanderers,Forward,1,1,40,1106,13,165.9,89.6,256,3,5
Willy Boly,Wolverhampton Wanderers,Defender,1,1,68,1879,29,46.1,414.0,182,4,6
